ac_number,ac_name,table_no,polling_station_no,candidate_1,candidate_2,candidate_3,candidate_4,candidate_5,candidate_6,candidate_7,candidate_8,candidate_9,candidate_10,candidate_11,candidate_12,candidate_13,candidate_14,total_valid,rejected,total,tendered
028,Alandur,1,1,195,178,9,41,27,0,4,0,0,0,0,0,0,10,464,0,464,0
028,Alandur,2,2,175,152,13,27,15,1,16,1,0,0,0,0,0,8,408,0,408,0
028,Alandur,3,3,224,148,3,23,0,0,2,0,0,0,0,0,1,4,405,0,405,0
028,Alandur,4,4,174,155,1,27,6,0,2,0,0,0,0,0,2,4,371,0,371,0
028,Alandur,5,5,219,124,9,14,21,0,16,0,0,0,0,1,1,8,413,0,413,0
028,Alandur,6,6,258,154,5,24,17,0,7,0,1,0,0,0,0,9,475,0,475,0
028,Alandur,7,7,320,144,16,36,13,0,5,0,0,0,1,0,2,4,541,0,541,0
028,Alandur,8,8,233,217,1,30,12,0,7,0,0,0,1,0,0,9,510,0,510,0
028,Alandur,9,9,135,145,5,18,15,0,10,0,0,0,1,0,0,14,343,0,343,0
028,Alandur,10,10,164,168,19,38,32,2,13,0,0,0,0,0,1,11,448,0,448,0
028,Alandur,11,11,161,104,28,25,17,0,14,0,0,0,0,0,0,14,363,0,363,0
028,Alandur,12,12,201,179,28,44,34,2,18,0,0,1,0,0,2,13,522,0,522,0
028,Alandur,13,13,198,172,16,24,14,2,15,0,0,0,0,0,1,8,450,0,450,0
028,Alandur,14,14,307,169,33,34,77,0,7,0,0,1,0,0,4,16,648,0,648,0
028,Alandur,15,15,172,118,8,21,33,0,3,0,0,0,1,0,0,10,366,0,366,0
028,Alandur,16,16,310,295,9,23,17,0,3,0,0,0,0,0,1,9,667,0,667,0
028,Alandur,17,17,279,250,31,62,38,0,15,0,1,0,0,1,3,13,693,0,693,0
028,Alandur,18,18,348,345,10,53,22,0,6,1,0,0,0,0,0,11,796,0,796,0
028,Alandur,19,19,248,275,15,23,37,0,7,0,0,0,1,1,1,15,623,0,623,0
028,Alandur,20,20,278,350,18,55,47,0,24,0,0,0,0,0,0,18,790,0,790,0
028,Alandur,21,21,262,273,9,27,55,0,16,1,0,0,0,0,2,11,656,0,656,0
028,Alandur,22,22,250,216,10,37,39,2,19,0,2,0,0,0,1,12,588,0,588,0
028,Alandur,23,23,257,262,4,29,37,1,6,0,0,0,0,0,0,10,606,0,606,0
028,Alandur,24,24,225,153,15,29,33,0,8,0,0,0,0,0,0,4,467,0,467,0
028,Alandur,25,25,100,109,10,12,17,0,7,0,0,0,0,0,0,9,264,0,264,0
028,Alandur,26,26,354,366,36,57,38,1,20,0,0,0,0,0,5,27,904,0,904,0
