ac_number,ac_name,table_no,polling_station_no,candidate_1,candidate_2,candidate_3,candidate_4,candidate_5,candidate_6,candidate_7,candidate_8,candidate_9,candidate_10,candidate_11,candidate_12,candidate_13,candidate_14,candidate_15,candidate_16,total_valid,rejected,total,tendered
037,Kancheepuram,1,1,372,11,2,317,5,6,1,149,0,0,0,7,3,2,1,13,889,0,889,0
037,Kancheepuram,2,2,309,21,5,227,5,0,0,2,0,0,1,2,7,0,2,8,589,0,589,0
037,Kancheepuram,3,3,125,5,1,313,1,3,7,328,1,1,0,0,2,1,3,2,793,0,793,0
037,Kancheepuram,4,4,78,4,1,64,1,1,12,350,1,2,0,1,0,1,2,3,521,0,521,0
037,Kancheepuram,5,5,276,24,1,138,2,1,2,221,0,1,0,0,0,1,1,19,687,0,687,0
037,Kancheepuram,6,6,341,17,0,58,3,0,1,128,0,0,0,0,0,0,0,6,554,0,554,0
037,Kancheepuram,7,7,368,12,0,104,6,0,2,216,0,0,1,2,1,0,0,7,719,0,719,0
037,Kancheepuram,8,8,214,5,0,185,1,3,2,188,0,0,0,1,0,0,0,2,601,0,601,0
037,Kancheepuram,9,9,193,13,3,242,3,2,0,9,0,0,0,0,1,0,0,6,472,0,472,0
037,Kancheepuram,10,10,429,23,4,379,3,0,0,1,0,0,0,1,0,0,1,5,846,0,846,0
037,Kancheepuram,11,11,314,20,3,383,11,1,0,100,1,1,0,0,2,2,1,14,853,0,853,0
037,Kancheepuram,12,12,155,6,0,141,5,1,1,326,1,0,0,0,1,1,0,0,638,0,638,0
037,Kancheepuram,13,13,269,11,0,133,4,0,3,184,0,0,0,0,0,0,0,1,605,0,605,0
037,Kancheepuram,14,14,223,4,4,209,5,2,3,384,1,0,1,4,0,2,0,4,846,0,846,0
037,Kancheepuram,15,15,277,24,27,344,6,2,2,191,1,2,2,0,0,3,3,9,893,0,893,0
037,Kancheepuram,16,16,312,12,12,290,1,9,0,7,0,0,0,1,1,0,1,11,657,0,657,0
037,Kancheepuram,17,17,306,14,0,231,2,1,3,242,0,1,0,0,2,1,2,11,816,0,816,0
