booth_no,total_votes_2016,DMK_2016,AIADMK_2016,DMK_2021,AIADMK_2021,candidate_3_lakkaM ihctaK ayiseD,candidate_4_udanlimaT raygnalI i,candidate_5_ralimaT maaN ihctaK,candidate_6_maiaM lakkaM ihdeeN,candidate_7_uhtianA lakkaM layis,candidate_8_aakihdavanaM ayitrah,candidate_9_aidnI citarcomeD fo ,candidate_10_htuoS citarcomeD lan,candidate_11_aidnI nacilbupeR )el,candidate_12_tnednepednI,candidate_13_tnednepednI,candidate_14_tnednepednI,candidate_15_tnednepednI,candidate_16_tnednepednI,candidate_17_tnednepednI,candidate_18_tnednepednI,candidate_19_tnednepednI,candidate_20_tnednepednI,candidate_21_tnednepednI,candidate_22_tnednepednI,candidate_23_tnednepednI,candidate_24_tnednepednI,candidate_25_tnednepednI,candidate_26_tnednepednI,total_votes_2021,AIADMK_share_2016,AIADMK_share_2021,AIADMK_swing,DMK_share_2016,DMK_share_2021,DMK_swing,turnout_change
1,464,195,178,224,168,0,1,30,46,0,1,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2,0,6,482,38.36,34.85,-3.51,42.03,46.47,4.44,3.88
2,408,175,152,216,179,0,2,60,56,0,0,3,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,520,37.25,34.42,-2.83,42.89,41.54,-1.35,27.45
3,405,224,148,282,122,1,0,14,10,0,0,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,435,36.54,28.05,-8.49,55.31,64.83,9.52,7.41
4,371,174,155,235,127,0,0,30,18,0,0,4,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,3,420,41.78,30.24,-11.54,46.9,55.95,9.05,13.21
5,413,219,124,209,155,2,0,27,30,1,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,428,30.02,36.21,6.19,53.03,48.83,-4.2,3.63
6,475,258,154,299,122,0,1,48,25,0,0,4,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,1,6,509,32.42,23.97,-8.45,54.32,58.74,4.42,7.16
7,541,320,144,321,111,0,0,56,24,0,0,2,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,4,521,26.62,21.31,-5.31,59.15,61.61,2.46,-3.7
8,510,233,217,290,164,1,1,43,21,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,526,42.55,31.18,-11.37,45.69,55.13,9.44,3.14
9,343,135,145,171,115,0,1,45,31,0,0,0,0,1,2,0,0,0,1,1,0,0,0,0,1,0,1,1,0,371,42.27,31.0,-11.27,39.36,46.09,6.73,8.16
10,448,164,168,209,142,1,7,33,74,0,1,6,0,0,0,1,0,0,0,2,1,0,0,0,0,0,0,0,4,481,37.5,29.52,-7.98,36.61,43.45,6.84,7.37
