booth_no,total_votes_2016,INC_2016,AIADMK_2016,PMK_2016,DMK_2021,AIADMK_2021,candidate_3_JAMAS NAJUHAB YTRAP,candidate_4_IHDEEN LAKKAM MAIAM,candidate_5_RALIMAT IHCTAK MAAN,candidate_6_LAKKAM ARTTENNUM MAG,candidate_7_LAKKAM IHCTAK AYISED,candidate_8,candidate_9,candidate_10,candidate_11,candidate_12,candidate_13,candidate_14,candidate_15,candidate_16,total_votes_2021,DMK_INC_2016,DMK_INC_2021,AIADMK_share_2016,AIADMK_share_2021,AIADMK_swing,DMK_INC_share_2016,DMK_INC_share_2021,DMK_INC_swing,turnout_change
1,876,351,440,5,458,280,3,5,64,5,0,3,0,15,0,0,0,3,19,18,873,351,458,50.23,32.07,-18.16,40.07,52.46,12.39,-0.34
2,597,215,223,114,310,257,4,2,42,3,0,1,1,1,1,0,1,1,8,4,636,215,310,37.35,40.41,3.06,36.01,48.74,12.73,6.53
3,547,120,202,201,183,335,2,4,27,5,0,0,0,1,0,0,1,0,5,6,569,120,183,36.93,58.88,21.95,21.94,32.16,10.22,4.02
4,867,196,262,326,284,499,9,3,50,15,0,1,0,0,0,0,0,1,7,5,874,196,284,30.22,57.09,26.87,22.61,32.49,9.88,0.81
5,838,281,226,274,345,413,10,6,48,10,0,1,0,3,0,0,0,0,10,10,856,281,345,26.97,48.25,21.28,33.53,40.3,6.77,2.15
6,491,124,216,114,144,267,4,6,30,5,0,0,0,0,0,0,0,1,0,1,458,124,144,43.99,58.3,14.31,25.25,31.44,6.19,-6.72
7,689,211,262,105,177,443,19,2,40,10,0,1,0,2,0,1,0,1,13,3,712,211,177,38.03,62.22,24.19,30.62,24.86,-5.76,3.34
8,597,354,172,15,386,128,3,8,51,11,0,0,0,1,0,0,1,0,1,4,594,354,386,28.81,21.55,-7.26,59.3,64.98,5.68,-0.5
9,409,153,221,9,161,182,2,2,45,11,0,0,0,1,0,0,0,1,7,7,419,153,161,54.03,43.44,-10.59,37.41,38.42,1.01,2.44
10,906,399,323,47,398,349,6,3,93,3,0,1,0,0,0,1,0,0,9,4,867,399,398,35.65,40.25,4.6,44.04,45.91,1.87,-4.3
11,661,264,291,27,407,313,7,5,105,4,0,0,0,1,1,0,1,0,6,8,858,264,407,44.02,36.48,-7.54,39.94,47.44,7.5,29.8
12,587,91,162,302,116,439,1,5,37,5,0,0,0,0,0,0,1,0,1,2,607,91,116,27.6,72.32,44.72,15.5,19.11,3.61,3.41
13,714,167,307,186,221,412,0,4,71,8,0,0,0,1,0,0,0,1,9,8,735,167,221,43.0,56.05,13.05,23.39,30.07,6.68,2.94
