booth_no,total_votes_2016,AIADMK_2016,DMK_2016,PMK_2016,DMK_2021,candidate_2_YTRAP NAJUHAB JAMAS,AIADMK_2021,candidate_4_RALIMAT IHCTAK MAAN,candidate_5_AYISED LAKKAM IHTKAS,candidate_6_LAKKAM IHDEEN MAIAM,candidate_7_ARTTENNUM MAGAZAK LA,candidate_8_NACILBUPER )ELAWAHTA,candidate_9,candidate_10,candidate_11,candidate_12,candidate_13,candidate_14,candidate_15,candidate_16,candidate_17,candidate_18,candidate_19,candidate_20,candidate_21,total_votes_2021,AIADMK_share_2016,AIADMK_share_2021,AIADMK_swing,DMK_share_2016,DMK_share_2021,DMK_swing,turnout_change
1,552,153,190,1,209,4,312,8,0,2,9,0,0,0,0,0,0,0,0,2,4,0,3,0,1,554,27.72,56.32,28.6,34.42,37.73,3.31,0.36
2,521,249,150,4,224,3,261,27,0,2,15,0,0,0,1,0,0,2,0,0,0,0,1,0,4,540,47.79,48.33,0.54,28.79,41.48,12.69,3.65
3,635,323,178,2,243,0,332,38,1,8,24,0,0,1,0,2,0,0,0,0,1,1,0,0,5,656,50.87,50.61,-0.26,28.03,37.04,9.01,3.31
4,456,200,160,2,221,0,223,36,0,6,14,0,0,0,0,0,0,0,0,0,4,0,2,0,4,510,43.86,43.73,-0.13,35.09,43.33,8.24,11.84
5,848,389,341,3,421,2,365,53,1,30,13,0,1,0,1,1,0,0,0,3,1,1,4,0,7,904,45.87,40.38,-5.49,40.21,46.57,6.36,6.6
6,697,292,331,6,339,1,297,37,0,28,8,0,1,0,2,0,1,0,0,0,1,0,0,1,3,719,41.89,41.31,-0.58,47.49,47.15,-0.34,3.16
7,487,225,189,2,245,2,215,46,0,6,6,0,0,0,2,0,0,0,0,2,0,0,1,0,2,527,46.2,40.8,-5.4,38.81,46.49,7.68,8.21
8,931,321,369,2,448,4,468,28,0,8,24,0,0,0,1,0,1,1,0,2,6,1,3,1,4,1000,34.48,46.8,12.32,39.63,44.8,5.17,7.41
9,656,307,275,9,272,0,305,38,0,21,3,0,0,0,0,0,0,1,2,1,0,0,0,0,5,648,46.8,47.07,0.27,41.92,41.98,0.06,-1.22
10,703,281,293,4,377,2,358,60,0,47,16,0,0,0,0,0,0,0,1,0,3,0,0,0,7,871,39.97,41.1,1.13,41.68,43.28,1.6,23.9
11,516,160,259,4,297,3,202,36,0,32,10,0,0,0,1,0,0,0,0,2,0,0,0,1,4,588,31.01,34.35,3.34,50.19,50.51,0.32,13.95
12,658,256,270,11,356,0,269,62,0,46,13,1,0,0,1,0,0,0,2,0,0,0,1,0,5,756,38.91,35.58,-3.33,41.03,47.09,6.06,14.89
13,701,325,284,0,383,2,349,71,0,38,16,0,1,0,0,1,0,0,1,0,3,0,0,0,14,879,46.36,39.7,-6.66,40.51,43.57,3.06,25.39
14,533,199,210,8,250,0,229,47,0,54,5,0,0,2,0,0,0,0,1,0,0,0,0,0,3,591,37.34,38.75,1.41,39.4,42.3,2.9,10.88
15,589,231,244,3,351,3,172,50,0,20,9,1,0,0,0,0,0,0,1,4,0,0,1,0,1,613,39.22,28.06,-11.16,41.43,57.26,15.83,4.07
16,660,311,234,3,307,0,301,76,1,34,12,0,0,0,0,0,0,1,0,2,7,0,2,0,10,753,47.12,39.97,-7.15,35.45,40.77,5.32,14.09
17,761,314,304,4,347,2,365,59,0,35,11,0,0,0,1,0,0,1,1,1,4,1,1,2,2,833,41.26,43.82,2.56,39.95,41.66,1.71,9.46
18,745,317,258,7,357,2,427,57,2,33,10,0,1,1,0,0,0,1,0,0,0,0,0,0,7,898,42.55,47.55,5.0,34.63,39.76,5.13,20.54
19,895,349,437,6,298,1,234,43,2,16,406,0,1,0,1,0,0,1,0,3,0,1,1,0,11,1019,38.99,22.96,-16.03,48.83,29.24,-19.59,13.85
20,526,230,230,6,177,1,95,20,0,6,253,0,0,2,0,1,0,0,0,2,1,1,1,0,0,560,43.73,16.96,-26.77,43.73,31.61,-12.12,6.46
21,566,254,223,2,129,0,147,38,1,10,250,0,0,1,0,0,0,0,0,1,1,0,0,0,4,582,44.88,25.26,-19.62,39.4,22.16,-17.24,2.83
22,674,307,247,8,291,1,288,52,0,42,13,0,0,1,0,1,0,0,0,2,1,0,1,0,6,699,45.55,41.2,-4.35,36.65,41.63,4.98,3.71
23,824,444,255,7,328,3,465,62,2,26,26,0,1,0,0,0,0,4,1,2,2,1,4,2,9,938,53.88,49.57,-4.31,30.95,34.97,4.02,13.83
24,801,334,349,12,412,0,352,70,0,46,14,1,0,0,0,0,0,1,1,1,3,0,0,1,6,908,41.7,38.77,-2.93,43.57,45.37,1.8,13.36
25,710,399,186,5,302,2,376,38,0,20,4,0,0,1,1,0,0,3,1,4,1,0,2,0,6,761,56.2,49.41,-6.79,26.2,39.68,13.48,7.18
26,618,283,268,7,334,1,224,46,0,12,7,1,0,0,0,0,0,1,1,4,2,0,1,1,2,637,45.79,35.16,-10.63,43.37,52.43,9.06,3.07
27,485,231,176,3,267,1,214,47,0,29,4,1,0,0,0,0,0,1,0,0,0,0,1,0,6,571,47.63,37.48,-10.15,36.29,46.76,10.47,17.73
28,548,228,225,7,382,0,239,52,2,43,6,0,0,0,1,0,0,0,0,0,0,0,0,0,6,731,41.61,32.69,-8.92,41.06,52.26,11.2,33.39
29,893,352,416,12,461,3,318,88,0,32,24,0,0,0,0,0,0,1,1,2,4,0,1,0,7,942,39.42,33.76,-5.66,46.58,48.94,2.36,5.49
30,600,248,248,11,295,3,289,48,0,52,17,0,0,1,0,0,0,0,0,1,4,0,0,0,10,720,41.33,40.14,-1.19,41.33,40.97,-0.36,20.0
31,675,280,293,4,359,3,265,53,0,31,10,0,0,0,1,0,0,0,0,1,1,0,2,1,4,731,41.48,36.25,-5.23,43.41,49.11,5.7,8.3
