booth_no,total_votes_2016,DMK_2016,AIADMK_2016,PMK_2016,DMK_2021,candidate_2_NAJUHAB JAMAS YTRAP,candidate_3_LAKKAM IHDEEN MAIAM,candidate_4_RALIMAT IHCTAK MAAN,AIADMK_2021,candidate_6_ARTTENUM MAGAZAK LAK,candidate_7_OITARENEG SELPOEP WE,candidate_8_EDNEPEDNI TN,candidate_9_EDNEPEDNI TN,candidate_10_EDNEPEDNI TN,candidate_11_EDNEPEDNI TN,candidate_12_EDNEPEDNI TN,candidate_13_EDNEPEDNI TN,candidate_14_EDNEPEDNI TN,candidate_15_EDNEPEDNI TN,candidate_16_EDNEPEDNI TN,total_votes_2021,AIADMK_share_2016,AIADMK_share_2021,AIADMK_swing,DMK_share_2016,DMK_share_2021,DMK_swing,turnout_change
1,889,372,317,149,456,2,3,33,386,3,1,7,0,0,3,5,0,0,4,5,908,35.66,42.51,6.85,41.84,50.22,8.38,2.14
2,589,309,227,2,312,1,3,37,132,7,0,75,2,0,0,3,1,0,1,10,584,38.54,22.6,-15.94,52.46,53.42,0.96,-0.85
3,793,125,313,328,143,1,8,19,623,4,2,1,0,0,1,8,0,0,1,6,817,39.47,76.25,36.78,15.76,17.5,1.74,3.03
4,521,78,64,350,77,1,1,4,448,4,0,0,0,1,1,4,0,0,0,3,544,12.28,82.35,70.07,14.97,14.15,-0.82,4.41
5,687,276,138,221,258,2,7,11,406,9,0,0,0,1,1,2,0,1,1,12,711,20.09,57.1,37.01,40.17,36.29,-3.88,3.49
6,554,341,58,128,315,1,8,6,200,3,0,0,0,1,0,1,0,0,0,5,540,10.47,37.04,26.57,61.55,58.33,-3.22,-2.53
7,719,368,104,216,348,2,7,5,365,3,0,1,0,0,0,1,1,1,0,9,743,14.46,49.13,34.67,51.18,46.84,-4.34,3.34
8,601,214,185,188,189,2,2,12,354,8,1,6,0,0,0,2,0,0,0,4,580,30.78,61.03,30.25,35.61,32.59,-3.02,-3.49
9,472,193,242,9,226,2,2,66,201,3,0,14,1,0,0,0,0,1,0,5,521,51.27,38.58,-12.69,40.89,43.38,2.49,10.38
10,846,429,379,1,600,9,1,53,196,3,1,9,1,0,0,1,0,1,2,3,880,44.8,22.27,-22.53,50.71,68.18,17.47,4.02
