booth,category,winner,winner_votes,runner_up,runner_votes,margin,margin_pct
1,STRONG AIADMK,AIADMK,312,DMK,209,103,19.77
2,LEAN AIADMK,AIADMK,261,DMK,224,37,7.63
3,STRONG AIADMK,AIADMK,332,DMK,243,89,15.48
4,SWING AIADMK,AIADMK,223,DMK,221,2,0.45
5 (M),STRONG DMK,DMK,215,AIADMK,169,46,11.98
5 A (W),SWING DMK,DMK,206,AIADMK,196,10,2.49
6,LEAN DMK,DMK,339,AIADMK,297,42,6.6
7,LEAN DMK,DMK,245,AIADMK,215,30,6.52
8 (M),SWING DMK,DMK,233,AIADMK,230,3,0.65
8 A (W),LEAN AIADMK,AIADMK,238,DMK,215,23,5.08
9,LEAN AIADMK,AIADMK,305,DMK,272,33,5.72
10 (M),SWING DMK,DMK,176,AIADMK,166,10,2.92
10 A (W),SWING DMK,DMK,201,AIADMK,192,9,2.29
11,STRONG DMK,DMK,297,AIADMK,202,95,19.04
12 (M),STRONG DMK,DMK,179,AIADMK,127,52,16.99
12 A ( W),STRONG DMK,DMK,177,AIADMK,142,35,10.97
13 (M),STRONG DMK,DMK,199,AIADMK,151,48,13.71
13 A (W),SWING AIADMK,AIADMK,198,DMK,184,14,3.66
14,SWING DMK,DMK,250,AIADMK,229,21,4.38
15,STRONG DMK,DMK,351,AIADMK,172,179,34.23
16,SWING DMK,DMK,307,AIADMK,301,6,0.99
17 (M),LEAN DMK,DMK,174,AIADMK,153,21,6.42
17 A (W),STRONG AIADMK,AIADMK,212,DMK,173,39,10.13
18 (M),SWING DMK,DMK,199,AIADMK,185,14,3.65
18 A (W),STRONG AIADMK,AIADMK,242,DMK,158,84,21.0
19 (M),LEAN AMMK,AMMK,176,DMK,150,26,7.98
19 A (W),STRONG AMMK,AMMK,230,DMK,148,82,21.69
20,STRONG AMMK,AMMK,253,DMK,177,76,17.67
21,STRONG AMMK,AMMK,250,AIADMK,147,103,25.94
22 (M),SWING DMK,DMK,144,AIADMK,134,10,3.6
22 A(W),SWING AIADMK,AIADMK,154,DMK,147,7,2.33
23 (M),LEAN AIADMK,AIADMK,189,DMK,155,34,9.88
23 A (W),STRONG AIADMK,AIADMK,276,DMK,173,103,22.94
24 (M),STRONG DMK,DMK,204,AIADMK,156,48,13.33
24 A ( W),SWING DMK,DMK,208,AIADMK,196,12,2.97
25 (M),SWING AIADMK,AIADMK,165,DMK,155,10,3.12
25 A (w),STRONG AIADMK,AIADMK,211,DMK,147,64,17.88
26,STRONG DMK,DMK,334,AIADMK,224,110,19.71
27,STRONG DMK,DMK,267,AIADMK,214,53,11.02
28 (M),STRONG DMK,DMK,203,AIADMK,121,82,25.31
28 A (W),STRONG DMK,DMK,179,AIADMK,118,61,20.54
29(M),STRONG DMK,DMK,236,AIADMK,144,92,24.21
29 A (W),STRONG DMK,DMK,225,AIADMK,174,51,12.78
30(M),SWING AIADMK,AIADMK,144,DMK,137,7,2.49
30 A (W),SWING DMK,DMK,158,AIADMK,145,13,4.29
31(M),STRONG DMK,DMK,178,AIADMK,124,54,17.88
31 A (W),STRONG DMK,DMK,181,AIADMK,141,40,12.42
32,STRONG AIADMK,AIADMK,369,DMK,207,162,28.12
33,STRONG AIADMK,AIADMK,274,DMK,192,82,17.6
34 (M),LEAN AIADMK,AIADMK,182,DMK,153,29,8.66
34 A (W),STRONG AIADMK,AIADMK,200,DMK,127,73,22.32
35 (M),STRONG AIADMK,AIADMK,249,DMK,174,75,17.73
35 A (W),LEAN AIADMK,AIADMK,226,DMK,195,31,7.36
36,STRONG AIADMK,AIADMK,396,AMMK,147,249,45.86
37,STRONG AMMK,AMMK,291,AIADMK,224,67,13.01
38,STRONG AIADMK,AIADMK,297,DMK,239,58,10.82
39,LEAN AIADMK,AIADMK,179,DMK,157,22,6.55
40,SWING AIADMK,AIADMK,270,DMK,247,23,4.45
41,STRONG AIADMK,AIADMK,257,DMK,144,113,28.18
42,LEAN DMK,DMK,310,AIADMK,277,33,5.62
43,SWING AIADMK,AIADMK,227,DMK,225,2,0.44
44,LEAN DMK,DMK,216,AIADMK,191,25,6.14
45,LEAN AIADMK,AIADMK,326,DMK,276,50,8.31
46 (M),STRONG AIADMK,AIADMK,235,DMK,139,96,25.67
46 A(W),STRONG AIADMK,AIADMK,266,DMK,122,144,37.11
47,SWING AIADMK,AIADMK,237,DMK,221,16,3.49
48,STRONG AIADMK,AIADMK,307,DMK,237,70,12.87
49,STRONG AIADMK,AIADMK,441,DMK,193,248,39.12
50,SWING AIADMK,AIADMK,395,DMK,367,28,3.67
51,STRONG DMK,DMK,301,AIADMK,210,91,17.81
52,SWING AIADMK,AIADMK,358,DMK,350,8,1.13
53,STRONG AIADMK,AIADMK,312,DMK,246,66,11.83
54 (M),LEAN AIADMK,AIADMK,204,DMK,167,37,9.97
54 A (W),STRONG AIADMK,AIADMK,261,DMK,147,114,27.94
55,STRONG DMK,DMK,329,AIADMK,262,67,11.34
56,LEAN AIADMK,AIADMK,365,DMK,316,49,7.2
57,STRONG AIADMK,AIADMK,324,DMK,256,68,11.72
58,STRONG DMK,DMK,238,AIADMK,148,90,23.32
59,STRONG DMK,DMK,273,AIADMK,187,86,18.7
60,STRONG AIADMK,AIADMK,219,DMK,170,49,12.6
61 (M),LEAN DMK,DMK,190,AIADMK,156,34,9.83
61 A(W),LEAN DMK,DMK,208,AIADMK,179,29,7.49
62 (M),STRONG DMK,DMK,192,AIADMK,144,48,14.29
62 A (W),LEAN DMK,DMK,225,AIADMK,189,36,8.7
63 (M),STRONG DMK,DMK,296,AIADMK,129,167,39.29
63 A(W),STRONG DMK,DMK,322,AIADMK,136,186,40.61
64,STRONG AIADMK,AIADMK,402,DMK,289,113,16.35
65,STRONG DMK,DMK,373,AIADMK,210,163,27.96
66,LEAN DMK,DMK,315,AIADMK,274,41,6.96
67,STRONG AIADMK,AIADMK,377,DMK,276,101,15.47
68,STRONG AIADMK,AIADMK,268,DMK,168,100,22.94
69,STRONG AIADMK,AIADMK,556,DMK,216,340,44.04
70,SWING AIADMK,AIADMK,193,DMK,192,1,0.26
71,LEAN AIADMK,AIADMK,299,DMK,249,50,9.12
72,SWING AIADMK,AIADMK,395,DMK,385,10,1.28
73,STRONG DMK,DMK,405,AIADMK,251,154,23.48
74,STRONG AIADMK,AIADMK,369,DMK,294,75,11.31
75 (M),LEAN DMK,DMK,210,AIADMK,184,26,6.6
75 A (W),LEAN AIADMK,AIADMK,220,DMK,196,24,5.77
76,SWING DMK,DMK,248,AIADMK,239,9,1.85
77,STRONG AIADMK,AIADMK,167,DMK,122,45,15.57
78,STRONG DMK,DMK,320,AIADMK,240,80,14.29
79,STRONG DMK,DMK,329,AIADMK,182,147,28.77
80,STRONG DMK,DMK,426,AIADMK,248,178,26.41
81,LEAN AIADMK,AIADMK,317,DMK,265,52,8.93
82,SWING AIADMK,AIADMK,366,DMK,355,11,1.53
83,SWING AIADMK,AIADMK,185,DMK,183,2,0.54
84(M),STRONG DMK,DMK,247,AIADMK,183,64,14.88
84 A(W),LEAN DMK,DMK,223,AIADMK,198,25,5.94
85,STRONG AIADMK,AIADMK,327,DMK,215,112,20.66
86,STRONG DMK,DMK,341,AIADMK,198,143,26.53
87,STRONG DMK,DMK,414,AIADMK,283,131,18.79
88,STRONG DMK,DMK,335,AIADMK,243,92,15.92
89,STRONG DMK,DMK,333,AIADMK,199,134,25.19
90(M),STRONG DMK,DMK,240,AIADMK,162,78,19.4
90 A(W),LEAN DMK,DMK,226,AIADMK,204,22,5.12
91,LEAN AIADMK,AIADMK,428,DMK,355,73,9.32
92 (M),STRONG AIADMK,AIADMK,301,DMK,137,164,37.44
92 A (W),STRONG AIADMK,AIADMK,312,DMK,141,171,37.75
93,STRONG AIADMK,AIADMK,383,DMK,233,150,24.35
94,STRONG AIADMK,AIADMK,314,DMK,223,91,16.95
95,SWING DMK,DMK,213,AIADMK,197,16,3.9
96,STRONG AIADMK,AIADMK,416,DMK,254,162,24.18
97 (M),SWING DMK,DMK,217,AIADMK,217,0,0.0
97 A (W),LEAN DMK,DMK,225,AIADMK,199,26,6.13
98,LEAN DMK,DMK,305,AIADMK,251,54,9.71
99,STRONG AIADMK,AIADMK,505,DMK,212,293,40.86
100,STRONG AIADMK,AIADMK,324,DMK,71,253,64.05
101,STRONG AIADMK,AIADMK,504,DMK,181,323,47.15
102 (M),STRONG AIADMK,AIADMK,262,DMK,125,137,35.4
102 A (W),STRONG AIADMK,AIADMK,311,DMK,133,178,40.09
103,LEAN DMK,DMK,184,AIADMK,163,21,6.05
104,SWING DMK,DMK,276,AIADMK,250,26,4.94
105,STRONG DMK,DMK,394,AIADMK,194,200,34.01
106,STRONG DMK,DMK,288,AIADMK,94,194,50.79
